Ranked This Week,Ranked Last Week,Player Name,Events,Average Points,Total Points,Points Lost,Points Gained,
1,1,Brooks Koepka,41,9.88,405.16,-24.36,1.91,
2,2,Rory McIlroy,49,9.09,445.21,-22.31,0,
3,3,Jon Rahm,48,8.02,384.89,-18.29,6.72,
4,4,Justin Thomas,47,7.7,361.77,-18.9,48,
5,5,Dustin Johnson,41,6.8,278.7,-19.92,7.84,
6,7,Tiger Woods,40,6.26,250.25,-12.87,0,
7,6,Patrick Cantlay,45,6.19,278.59,-14.06,16.31,
8,9,Justin Rose,47,6.05,284.52,-18.82,15.6,
9,8,Xander Schauffele,50,5.97,298.73,-14.92,24,
10,10,Tommy Fleetwood,52,5.76,299.52,-15.19,21.67,
11,11,Webb Simpson,46,5.19,238.7,-13.58,18.4,
12,12,Patrick Reed,52,4.83,251.15,-14.67,24,
13,13,Adam Scott,44,4.64,204.08,-9.71,0,
14,18,Louis Oosthuizen,48,4.58,219.99,-8.35,31.2,
15,14,Gary Woodland,52,4.49,233.73,-12.67,7.84,
16,15,Tony Finau,52,4.49,233.73,-14.95,8.6,
17,16,Bryson DeChambeau,52,4.36,226.84,-18.07,0,
18,17,Paul Casey,51,4.36,222.35,-13.18,5.46,
19,19,Shane Lowry,52,4.33,224.97,-9.9,12,
20,24,Matt Kuchar,52,4.23,219.88,-11.26,30.56,
21,20,Francesco Molinari,45,4.15,186.93,-14.8,0,
22,23,Bernd Wiesberger,40,4.11,164.3,-5.43,7.25,
23,21,Hideki Matsuyama,52,4.04,210.05,-8.41,4.22,
24,25,Matthew Fitzpatrick,52,3.96,206.06,-9.04,21.67,
25,22,Rickie Fowler,44,3.93,172.75,-11.07,15.56,
26,26,Henrik Stenson,45,3.35,150.64,-6.93,1.5,
27,27,Kevin Na,48,3.31,159.1,-9.27,5.14,
28,28,Marc Leishman,49,3.2,156.97,-9.72,2.11,
29,63,Lee Westwood,42,3.12,130.95,-4.19,50,
30,39,Abraham Ancer,52,3.11,161.71,-6.69,25.57,
31,29,Danny Willett,52,3.07,159.62,-6.81,0,
32,30,Kevin Kisner,52,3.03,157.48,-8.8,15.91,
33,31,Cameron Smith,52,2.97,154.55,-7.49,46,
34,35,Sungjae Im,52,2.96,153.94,-6.73,7.6,
35,34,Tyrrell Hatton,51,2.95,150.23,-7.53,0,
36,33,Shugo Imahira,52,2.92,152.03,-5.45,0,
37,32,Matt Wallace,52,2.9,151.06,-9.18,0,
38,38,Jazz Janewattananond,52,2.84,147.55,-5.32,16.4,
39,36,Billy Horschel,52,2.78,144.5,-8.06,0,
40,37,Chez Reavie,52,2.77,144.22,-8.67,2.35,
41,45,Victor Perez,50,2.72,136.1,-3.93,21.67,
42,41,Sergio Garcia,50,2.7,135.05,-8.24,7.25,
43,42,Rafa Cabrera Bello,52,2.62,136.04,-8.51,5.15,
44,40,Jason Day,41,2.55,104.6,-10.48,0,
45,43,Jordan Spieth,47,2.37,111.44,-7.55,0,
46,48,Erik van Rooyen,52,2.36,122.52,-4.8,6.91,
47,44,Byeong Hun An,52,2.33,121.08,-7.22,0,
48,47,Brandt Snedeker,52,2.29,119.12,-6.99,4.22,
49,51,Andrew Putnam,51,2.29,116.72,-6.9,5,
50,46,Ian Poulter,52,2.28,118.48,-8.48,0,
51,66,Scottie Scheffler,40,2.28,91.03,-2.49,16,
52,49,Adam Hadwin,48,2.27,108.73,-6.76,0,
53,50,Keegan Bradley,52,2.21,114.7,-7.81,4.22,
54,60,Shaun Norris,52,2.2,114.45,-4.12,10.71,
55,53,Collin Morikawa,40,2.14,85.56,-2.48,10.44,
56,52,Bubba Watson,44,2.14,93.99,-10.94,0,
57,58,Brendon Todd,40,2.11,84.38,-0.47,6.22,
58,54,Joaquin Niemann,49,2.1,102.81,-4.48,10.56,
59,56,Corey Conners,52,2.08,108.38,-4.39,7.46,
60,57,Charles Howell III,52,2.07,107.46,-6.1,4.22,
61,55,Eddie Pepperell,46,2.06,94.96,-6.62,0,
62,59,Tom Lewis,52,2.02,105.16,-5.08,0,
63,62,Chan Kim,40,1.96,78.35,-1.77,0,
64,61,Jim Furyk,40,1.95,78.06,-4.3,0,
65,64,Jason Kokrak,50,1.91,95.67,-5.38,0,
66,74,Paul Waring,45,1.91,85.75,-3.23,5.15,
67,65,Robert MacIntyre,52,1.88,98.01,-3.29,0,
68,68,Michael Lorenzo-Vera,45,1.88,84.72,-3.68,1.91,
69,67,J.T. Poston,52,1.88,97.68,-3.88,7.42,
70,73,Branden Grace,52,1.87,97.34,-5.06,35.88,
71,69,Haotong Li,52,1.85,96.16,-6.93,1.7,
72,71,Ryan Palmer,44,1.85,81.19,-4.34,15.31,
73,75,Cameron Champ,52,1.83,94.93,-4.32,6.78,
74,70,C.T. Pan,52,1.81,94.32,-5.47,0,
75,76,Kurt Kitayama,49,1.81,88.59,-3.16,1.91,
76,72,Lucas Glover,48,1.8,86.31,-4.32,0,
77,77,Andrea Pavan,52,1.76,91.32,-5.01,0,
78,82,Alex Noren,52,1.74,90.36,-8.52,5.66,
79,80,Matthias Schwab,52,1.74,90.28,-2.86,1.46,
80,83,Ryo Ishikawa,46,1.73,79.38,-2.95,1.35,
81,78,Justin Harding,52,1.72,89.57,-6.13,1.2,
82,79,Phil Mickelson,47,1.72,80.67,-8.79,0,
83,81,Marcus Kinhult,47,1.71,80.27,-3.1,0,
84,85,Thomas Pieters,52,1.69,87.92,-4.6,2.18,
85,84,Rory Sabbatini,52,1.66,86.1,-4.43,2.6,
86,86,Lucas Bjerregaard,52,1.64,85.13,-6,0,
87,88,Joost Luiten,40,1.63,65.29,-3.61,1.46,
88,87,Sung Kang,52,1.63,84.63,-4.01,2.55,
89,89,Nate Lashley,45,1.59,71.51,-3.02,3.24,
90,90,Christiaan Bezuidenhout,52,1.56,81.18,-3.07,0,
91,105,Ryan Moore,46,1.55,71.5,-4.49,6.9,
92,91,Benjamin Hebert,50,1.55,77.53,-3.2,0,
93,92,Danny Lee,52,1.54,80.23,-3.33,0,
94,93,Lanto Griffin,52,1.52,79.24,-2.66,13.1,
95,98,Vaughn Taylor,52,1.51,78.61,-3.03,5.44,
96,94,Viktor Hovland,40,1.5,60.15,-2.22,0,
97,96,Jung-gon Hwang,52,1.5,77.88,-2.63,0,
98,104,Sebastián Muñoz,52,1.5,77.84,-3.17,6.18,
99,97,Matt Jones,52,1.5,77.84,-2.23,1.57,
100,100,Graeme McDowell,50,1.5,74.78,-3.29,14.08,
101,95,Joel Dahmen,52,1.49,77.62,-3.94,4.22,
102,102,Matthew Wolff,40,1.47,58.62,-1.81,6,
103,101,Keith Mitchell,52,1.46,75.79,-4.77,2.04,
104,109,Rikuya Hoshino,52,1.46,75.75,-3.39,4.38,
105,108,Jorge Campillo,52,1.45,75.4,-5.2,1.91,
106,99,Thorbjørn Olesen,40,1.45,57.92,-5.21,0,
107,106,Dylan Frittelli,52,1.45,75.25,-4.29,2.12,
107,240,Andrew Landry,52,1.45,75.25,-3.63,40,
109,103,J.B. Holmes,48,1.44,69.27,-5.23,2.16,
110,116,Romain Langasque,52,1.4,72.56,-3.06,1.91,
111,113,Russell Knox,52,1.39,72.09,-5.34,3.28,
112,111,Scott Piercy,51,1.38,70.27,-4.24,1.26,
113,110,Emiliano Grillo,51,1.37,70.11,-5.79,2.6,
114,114,Adam Long,52,1.36,70.87,-3.07,2.73,
115,115,Kiradech Aphibarnrat,52,1.36,70.72,-6.35,1.46,
116,127,Martin Kaymer,52,1.36,70.67,-3.29,7.25,
117,107,Si Woo Kim,52,1.35,70.23,-5.42,0,
118,112,Guido Migliozzi,44,1.35,59.32,-2.24,0,
119,117,Calum Hill,40,1.35,53.88,-2.05,0,
120,119,Adri Arnaus,52,1.33,69.38,-3.49,1.2,
121,118,Thomas Detry,52,1.33,69.02,-2.87,1.4,
122,124,Francesco Laporta,48,1.3,62.61,-1.45,3.88,
123,120,Aaron Wise,49,1.29,63,-5.33,0,
124,121,Kyle Stanley,52,1.27,66.2,-6.19,0,
125,130,Andy Sullivan,50,1.26,63.18,-3.32,7.84,
126,125,Pat Perez,45,1.26,56.84,-3.1,1.26,
127,123,Brian Harman,52,1.26,65.66,-4.56,4.08,
128,122,Max Homa,52,1.26,65.58,-2.76,2.55,
129,131,Gunn Charoenkul,52,1.26,65.29,-1.46,10.54,
130,154,Joohyung Kim,40,1.23,49.19,-0.98,9.25,
131,126,Kevin Streelman,52,1.22,63.43,-3.91,0,
132,129,Scott Vincent,52,1.22,63.32,-2.96,0,
133,128,Harold Varner III,52,1.22,63.21,-3.35,0,
134,134,Mikumu Horikawa,52,1.2,62.4,-2.21,1.82,
135,132,Kevin Tway,52,1.19,61.82,-4.05,0,
136,133,Xinjun Zhang,52,1.18,61.3,-2.77,0,
137,137,Sebastian Soderberg,52,1.17,60.92,-2.95,1.46,
138,135,Brian Stuard,52,1.17,60.65,-2.99,0,
139,136,Brad Kennedy,46,1.16,53.46,-1.99,0,
140,139,Brendan Jones,41,1.14,46.91,-2.31,0,
141,138,Sanghyun Park,52,1.13,58.88,-3.57,0,
142,182,Bud Cauley,42,1.13,47.34,-2.18,10.8,
143,147,Jordan L Smith,51,1.11,56.79,-3.08,2.72,
144,140,Mikko Korhonen,47,1.11,52.13,-3.57,0,
145,144,Wade Ormsby,51,1.11,56.54,-1.52,21.2,
146,141,Troy Merritt,50,1.1,55.15,-3.28,0,
147,143,Carlos Ortiz,52,1.09,56.78,-2.3,0,
148,142,Harry Higgs,49,1.09,53.22,-1.82,0,
149,145,Matthew Southgate,52,1.08,56.04,-2.65,0,
150,148,Jason Scrivener,52,1.07,55.48,-2.17,0,
151,146,Denny McCarthy,52,1.06,55.36,-2.96,0,
152,152,Daniel Berger,45,1.04,46.95,-3.39,3.27,
153,159,Doc Redman,40,1.04,41.55,-1.55,1.7,
154,151,Ryuko Tokimatsu,52,1.04,53.99,-2.91,0,
155,150,Luke List,52,1.02,53.12,-5.51,0,
156,153,Ryan Fox,52,1.02,53.09,-4.04,0,
157,160,JC Ritchie,42,1.02,42.74,-2.55,7.5,
158,157,Kazuki Higa,50,1.01,50.49,-2.03,1.35,
159,155,Andrew Johnston,40,1.01,40.28,-2.42,0,
160,149,Joachim B Hansen,52,1.01,52.29,-3,0,
161,156,Jhonattan Vegas,50,1,50.09,-3.26,0,
162,158,Tyler Duncan,52,1,51.87,-1.22,3.24,
163,162,Brendan Steele,47,0.99,46.68,-2.17,28.82,
164,164,Jaco Ahlers,42,0.99,41.59,-1.89,11.44,
165,209,Sepp Straka,52,0.98,50.98,-1.99,10.8,
166,161,Robby Shelton,52,0.97,50.61,-2.12,0,
167,168,Yuta Ikeda,52,0.96,50.14,-2.64,2.28,
168,175,Masahiro Kawamura,52,0.96,49.85,-2.48,3.88,
169,163,Pablo Larrazabal,49,0.95,46.54,-2.17,0,
170,165,Wyndham Clark,52,0.94,48.94,-2.43,0,
171,167,Zack Sucher,40,0.94,37.46,-1.53,0,
172,178,Joakim Lagergren,49,0.93,45.75,-2.49,2.72,
173,166,Charley Hoffman,52,0.93,48.11,-3.74,0,
174,170,Ho Sung Choi,52,0.92,47.98,-1.86,0,
175,177,Jack Senior,52,0.92,47.98,-1.47,10.82,
176,171,Kristoffer Ventura,40,0.92,36.83,-1.51,0,
177,194,Rashid Khan,43,0.92,39.46,-1.1,7.9,
178,215,Tom Hoge,52,0.9,47.02,-2.33,11.12,
179,172,Richard Sterne,47,0.9,42.47,-2.3,0,
180,181,Chesson Hadley,52,0.9,46.75,-3.89,1.7,
181,169,George Coetzee,52,0.9,46.69,-2.17,5.12,
182,183,Nicolas Colsaerts,52,0.9,46.57,-1.64,1.46,
183,176,Matthew Jordan,40,0.89,35.74,-1.18,0,
184,174,Aaron Rai,52,0.89,46.24,-2.66,0,
185,173,Brian Gay,52,0.89,46.13,-3.03,0,
186,238,Ross Fisher,48,0.89,42.48,-3.04,9.5,
187,179,Darius Van Driel,44,0.88,38.69,-1.73,0,
188,223,Sam Burns,52,0.87,45.36,-3.27,6.9,
189,187,Mark Hubbard,52,0.87,45.12,-1.76,1.22,
190,197,Sebastian Heisele,44,0.87,38.18,-1.05,2.72,
191,186,Bronson Burgoon,48,0.87,41.57,-2.59,1.22,
192,192,Zander Lombard,52,0.86,44.96,-1.8,1.91,
193,184,Antoine Rozner,52,0.86,44.8,-1.72,0,
194,180,Kalle Samooja,51,0.86,43.92,-1.98,0,
195,198,John Catlin,52,0.86,44.53,-2.6,3.48,
196,191,Nick Watney,52,0.86,44.49,-3.27,1.7,
197,201,Brandon Stone,52,0.86,44.47,-2.59,2.72,
198,199,David Lipsky,52,0.85,44.23,-2.55,2.18,
199,185,Harris English,52,0.85,44.14,-2.32,0,
200,189,Rasmus Hojgaard,40,0.84,33.78,-0.55,0,
201,190,Yi Keun Chang,41,0.84,34.32,-1.41,1.92,
202,216,Talor Gooch,49,0.83,40.54,-2.24,3.1,
203,188,Alexander Björk,49,0.83,40.54,-3.98,0,
204,231,Sam Horsfield,52,0.82,42.82,-2.63,5.15,
205,217,Gavin Kyle Green,52,0.82,42.61,-2.05,5.28,
206,196,Ryan Armour,52,0.82,42.5,-2.85,0,
207,193,Julian Suri,44,0.82,35.89,-2.77,0,
208,195,Beau Hossler,52,0.81,42.14,-4.01,0,
209,230,Adam Schenk,52,0.8,41.83,-1.93,3.8,
210,203,Seungsu Han,52,0.8,41.7,-1.98,0,
211,200,Zach Johnson,45,0.8,35.9,-3.16,2.11,
211,202,Satoshi Kodaira,52,0.8,41.48,-4.14,0,
213,208,Henrik Norlander,52,0.79,41,-1.52,6.44,
214,206,Shota Akiyoshi,50,0.79,39.41,-2.43,0,
215,218,Cameron Tringale,50,0.79,39.37,-1.4,1.22,
216,212,Takumi Kanaya,40,0.78,31.28,-0.24,0,
217,207,Stewart Cink,43,0.78,33.57,-3.08,0,
218,204,Michael Thompson,49,0.78,38.2,-2.33,1.57,
219,205,Adrian Otaegui,52,0.78,40.49,-4.06,0,
220,211,Yosuke Asaji,51,0.77,39.48,-1.53,0,
221,214,Scott Harrington,43,0.77,33.27,-1.13,0,
222,227,Richie Ramsay,49,0.77,37.79,-1.6,1.46,
223,209,Lucas Herbert,46,0.77,35.2,-2.76,0,
224,213,Brice Garnett,52,0.76,39.66,-2.93,0,
225,219,Min Woo Lee,40,0.76,30.38,-0.94,2.56,
226,222,K.T. Kim,47,0.76,35.65,-0.82,0,
227,220,Maverick Antcliff,49,0.76,37.14,-1.35,3.36,
228,255,Miguel Tabuena,40,0.75,30.2,-1.43,5.1,
229,225,Robin Roussel,48,0.75,35.95,-1.28,0,
230,224,Zac Blair,52,0.75,38.83,-1.47,0,
231,242,Scott Hend,52,0.75,38.79,-1.99,3.88,
232,221,Adrian Meronk,47,0.74,34.79,-1.18,0,
233,229,Nick Taylor,52,0.73,38.18,-1.92,1.86,
234,228,Kramer Hickok,52,0.73,38.04,-2.32,1.26,
235,226,Oliver Wilson,47,0.72,34.07,-2.04,0,
236,298,Scott Jamieson,49,0.72,35.51,-1.55,7.25,
237,251,Tomoharu Otsuki,52,0.72,37.67,-1.33,6.05,
238,266,Thriston Lawrence,45,0.71,31.91,-1.16,5.41,
239,235,Steven Brown,52,0.71,36.83,-0.9,0,
240,237,P. Tangkamolpraser,52,0.71,36.69,-1.03,0,
241,232,Russell Henley,51,0.7,35.93,-2.93,0,
242,236,Fabián Gómez,52,0.7,36.6,-1.57,0,
243,241,Yoshinori Fujimoto,41,0.7,28.77,-1.86,0,
244,239,Hiroshi Iwata,46,0.69,31.94,-1.6,0,
245,233,Charl Schwartzel,40,0.69,27.78,-2.63,0,
246,234,Jimmy Walker,46,0.69,31.75,-3.47,1.26,
247,259,Cameron Davis,52,0.69,35.68,-2.04,8.14,
248,243,Suradit Yongcharoenchai,52,0.69,35.66,-1.4,0,
249,244,Shubhankar Sharma,52,0.68,35.59,-3.17,0,
250,258,Sam Ryder,51,0.68,34.78,-2.41,3.81,
251,259,Sean Crocker,45,0.68,30.68,-2,1.46,
252,263,Louis de Jager,52,0.68,35.41,-1.78,2.03,
253,271,Matthew NeSmith,47,0.68,31.78,-0.92,4.96,
254,409,Darren Fichardt,50,0.67,33.7,-2.04,14,
255,248,Naoki Sekito,40,0.67,26.93,-0.92,2.93,
256,273,Renato Paratore,52,0.67,34.95,-1.47,2.72,
257,245,Dean Burmester,52,0.67,34.87,-2.6,0,
258,247,Chris Stroud,49,0.67,32.85,-1.82,0,
259,250,Roger Sloan,52,0.67,34.76,-1.97,0,
260,246,Robert Streb,52,0.67,34.65,-1.99,0,
261,277,Chase Seiffert,40,0.67,26.63,-1.14,3.78,
262,249,Chris Paisley,47,0.66,31.25,-2.78,0,
263,253,Wil Besseling,41,0.66,27.24,-0.84,0,
264,252,Richy Werenski,52,0.66,34.36,-2.41,0,
265,254,Peter Malnati,52,0.66,34.27,-1.92,4.22,
266,261,Hiroyuki Fujita,46,0.66,30.17,-0.89,0,
267,257,Kelly Kraft,52,0.65,33.78,-2.63,0,
268,262,Richard Bland,52,0.65,33.72,-1.14,1.76,
269,264,Sebi Garcia,43,0.64,27.48,-1.09,0,
270,256,Aaron Baddeley,48,0.64,30.66,-2.07,0,
271,265,Jason Dufner,48,0.63,30.29,-2.45,0,
272,269,Bo Hoag,52,0.63,32.6,-0.99,6.44,
273,268,Toshinori Muto,50,0.63,31.34,-1.31,0,
274,270,Cormac Sharvin,46,0.62,28.63,-1.17,0,
275,274,Joel Sjöholm,48,0.62,29.79,-0.91,0,
276,306,Danie van Tonder,48,0.62,29.71,-1.59,3.36,
277,274,Ricardo Santos,42,0.62,25.96,-1.09,0,
278,272,Mackenzie Hughes,52,0.62,32.1,-1.82,0,
279,312,Hank Lebioda,52,0.61,31.95,-1.33,3.1,
280,276,Connor Syme,52,0.61,31.86,-1.52,1.76,
281,296,Johannes Veerman,44,0.61,26.84,-1.1,4.71,
282,281,Shiv Kapur,42,0.61,25.62,-0.72,1.45,
283,267,Scott Stallings,52,0.61,31.66,-2.85,0,
284,289,"Ted Potter, Jr.",50,0.61,30.41,-3.22,9.24,
285,309,Kyoung-Hoon Lee,52,0.61,31.47,-1.94,2.22,
286,284,Andrew Dodt,45,0.61,27.23,-0.91,0,
287,282,Jim Herman,40,0.6,24.18,-0.92,2.35,
288,283,Sadom Kaewkanjana,40,0.6,24.15,-0.98,2.93,
289,300,Yuki Inamori,51,0.6,30.77,-2.26,1.82,
290,285,Oliver Farr,47,0.6,28.33,-1.14,1.4,
291,280,Austin Cook,52,0.6,31.27,-2.55,0,
292,279,Peter Uihlein,52,0.6,31.26,-2.97,0,
293,278,Josh Younger,45,0.6,27.05,-0.43,0,
294,286,Justin Walters,52,0.6,31.23,-1.31,0,
295,287,Ignacio Elvira Mijares,52,0.6,30.95,-2.05,0,
296,288,Hyungjoon Lee,40,0.59,23.7,-1.35,0,
297,290,Jake McLeod,42,0.59,24.59,-1.62,0,
298,291,Wes Roach,52,0.58,30.38,-1.6,0,
299,292,Jonas Blixt,44,0.58,25.49,-1.49,0,
300,293,Matt Every,51,0.58,29.47,-1.59,0,
301,296,Cameron Percy,44,0.58,25.41,-1.34,0,
302,294,Fabrizio Zanotti,40,0.57,22.99,-1.58,0,
303,301,Soomin Lee,52,0.57,29.72,-1.42,0,
304,305,Phachara Khongwatmai,52,0.57,29.67,-0.75,1.2,
305,299,J.J. Spaun,52,0.57,29.59,-2.43,0,
305,303,Matthew Griffin,48,0.57,27.31,-1.43,0,
307,302,Sihwan Kim,51,0.57,28.91,-2.03,0,
308,307,D.J. Trahan,40,0.57,22.61,-0.73,2.11,
309,340,Kousuke Hamamoto,40,0.56,22.57,-0.71,2.54,
310,295,Kodai Ichihara,51,0.56,28.73,-1.94,0,
311,368,Ryosuke Kinoshita,44,0.56,24.52,-0.73,4.94,
312,392,Richard Lee,46,0.56,25.63,-0.81,6.24,
313,311,Nelson Ledesma,52,0.56,28.87,-1.59,0,
314,308,Carl Yuan,42,0.55,23.11,-0.85,0,
315,304,Rhys Enoch,52,0.55,28.56,-1.74,1.21,
316,315,Jeongwoo Ham,40,0.55,21.92,-0.95,0,
317,314,Alvaro Quiros,46,0.55,25.18,-1.53,0,
318,310,Alexander Levy,49,0.55,26.81,-3.18,0,
319,316,Josh Teater,52,0.54,28.27,-1.58,0,
320,332,Bryce Easton,52,0.54,28.26,-1.38,1.37,
321,344,Edoardo Molinari,52,0.54,28.23,-1.29,2.72,
322,321,Suteepat Prateeptienchai,40,0.54,21.63,-0.51,0,
323,313,Richard Jung,42,0.54,22.69,-0.79,0,
324,318,Ewen Ferguson,51,0.54,27.5,-1.4,0,
325,341,Daijiro Izumida,47,0.54,25.33,-0.84,1.82,
326,320,Anthony Quayle,49,0.54,26.33,-1.23,0,
327,319,Prom Meesawat,49,0.54,26.28,-1.44,1.45,
328,322,Callum Shinkwin,44,0.53,23.52,-1.26,0,
329,335,Angelo Que,51,0.53,27.2,-1.49,2.8,
330,323,Y.E. Yang,52,0.53,27.62,-1.66,0,
331,317,Jeff Winther,48,0.53,25.46,-1.39,1.21,
332,382,Jack Singh Brar,52,0.53,27.56,-1.57,5.15,
333,327,Bobby Bai,40,0.53,21.19,-0.31,0,
334,324,Patton Kizzire,52,0.53,27.54,-3.03,0,
335,326,Bio Kim,40,0.53,21.15,-0.92,0,
336,328,Ajeetesh Sandhu,47,0.52,24.51,-0.92,0,
337,345,Steve Surry,47,0.52,24.42,-1.12,3.03,
338,330,Katsumasa Miyamoto,45,0.52,23.38,-0.85,0,
339,329,Jose-Filipe Lima,48,0.52,24.85,-1.32,0,
339,331,Nino Bertasio,52,0.52,26.92,-1.34,2.56,
341,422,Sebastian Cappelen,52,0.52,26.86,-1.11,6.9,
342,325,Padraig Harrington,50,0.52,25.81,-1.48,0,
343,333,Ryan Brehm,52,0.51,26.63,-1.09,0,
344,335,Jeunghun Wang,52,0.51,26.53,-1.34,0,
345,334,Sang-hee Lee,51,0.51,25.96,-1.47,0,
346,352,Augusto Núñez,44,0.51,22.39,-0.68,1.22,
347,397,Poom Saksansin,52,0.51,26.34,-1.86,4.94,
348,338,Scott Brown,52,0.5,26.1,-1.43,0,
349,337,Grant Forrest,52,0.5,26.01,-1.76,0,
350,339,Miguel Angel Carballo,52,0.5,25.95,-1.49,0,
351,342,Shawn Stefani,52,0.49,25.73,-1.45,0,
352,362,Ashley Chesters,52,0.49,25.59,-1.49,1.46,
353,343,Adilson da Silva,44,0.49,21.55,-1.47,0,
354,355,Andres Romero,42,0.49,20.51,-0.96,0,
355,346,Kwanchai Tannin,44,0.49,21.47,-0.92,0,
356,353,Mark Anderson,45,0.49,21.94,-1.22,2.6,
357,347,Kyongjun Moon,40,0.49,19.46,-0.85,0,
358,348,Josh Geary,47,0.49,22.81,-1.06,0,
359,350,Rhein Gibson,52,0.48,25.09,-1.57,0,
360,349,Martin Laird,51,0.48,24.39,-2.04,0,
361,351,Atomu Shigenaga,40,0.48,19.02,-1.34,0,
362,354,Robert Rock,43,0.47,20.37,-1.53,0,
363,357,Tapio Pulkkanen,52,0.47,24.61,-1.26,2.56,
364,360,Zecheng Dou,45,0.47,21.15,-0.61,0,
365,356,Gaganjeet Bhullar,51,0.47,23.91,-2.19,0,
366,358,Ashun Wu,52,0.47,24.33,-1.78,0,
367,359,Martin Trainer,52,0.47,24.31,-1.91,1.96,
368,361,Jbe' Kruger,52,0.47,24.3,-1.23,0,
369,363,Paul Barjon,40,0.47,18.66,-0.77,0,
370,364,Lars Van Meijel,47,0.47,21.88,-0.85,0,
371,463,Grayson Murray,42,0.46,19.42,-1.4,5,
372,366,Dimi Papadatos,51,0.46,23.32,-1.85,0,
373,556,John Oda,40,0.45,18.14,-0.78,7,
374,365,Martin Rohwer,45,0.45,20.4,-0.76,5.12,
375,373,Johnson Wagner,44,0.45,19.91,-1.29,0,
376,418,Travis Smyth,49,0.45,22.06,-0.37,5.04,
377,369,David Law,52,0.45,23.35,-1.7,0,
378,380,Kyung-Nam Kang,50,0.45,22.43,-0.72,0,
379,372,Hugo León,49,0.45,21.85,-0.9,0,
380,370,Ben Stow,46,0.45,20.5,-0.98,0,
381,375,Wang Wei Lun,40,0.44,17.79,-0.35,0,
382,374,Paul Dunne,49,0.44,21.75,-2.22,0,
383,367,Patrick Rodgers,51,0.44,22.57,-2.29,1.57,
384,371,Stephen Gallacher,48,0.44,21.21,-1.56,0,
385,377,Chikkarangappa S.,49,0.44,21.59,-1.02,0,
386,379,Juvic Pagunsan,40,0.44,17.54,-0.95,0,
387,405,Danthai Boonma,52,0.44,22.77,-1.39,1.82,
388,378,Lorenzo Gagli,52,0.44,22.69,-1.61,0,
389,375,Michael Gellerman,44,0.43,18.94,-0.95,1.57,
390,386,Robin Sciot-Siegrist,51,0.43,21.92,-0.62,0,
391,384,Wonjoon Lee,46,0.43,19.72,-1.15,0,
392,385,Oscar Lengden,42,0.43,17.97,-0.98,0,
393,410,David Hearn,49,0.43,20.95,-0.89,1.42,
394,381,Chris Wood,40,0.43,17.02,-2.26,0,
394,404,Søren Kjeldsen,51,0.43,21.7,-1.39,1.2,
396,387,Micah Shin,40,0.42,16.99,-0.7,0,
397,389,Todd Clements,40,0.42,16.98,-0.52,0,
398,436,Philip Eriksson,40,0.42,16.93,-0.83,2.03,
399,391,Taylor Pendrith,40,0.42,16.88,-0.66,0,
400,388,Jean-Paul Strydom,40,0.42,16.85,-1.1,0,
401,414,Maverick McNealy,52,0.42,21.85,-1.11,1.42,
402,394,Chris Kirk,40,0.42,16.79,-2.2,0,
403,400,Koumei Oda,43,0.42,18.01,-0.95,0,
404,395,Nicolai Hojgaard,40,0.42,16.75,-0.72,0,
404,396,Sami Valimaki,40,0.42,16.75,-0.65,0,
406,398,Aaron Pike,40,0.42,16.7,-0.43,0,
407,383,Tyler McCumber,44,0.42,18.35,-1.4,0,
408,399,Richard Mansell,40,0.41,16.59,-0.7,0,
409,390,Trey Mullinax,43,0.41,17.76,-1.88,0,
410,393,Todd Baek,51,0.41,21.06,-0.81,0,
411,402,Udayan Mane,40,0.41,16.38,-0.44,0,
412,633,Dylan Wu,40,0.41,16.34,-0.42,7,
413,403,Eirik Tage Johansen,40,0.4,16.19,-0.87,0,
414,407,Dale Whitnell,40,0.4,16.14,-0.59,0,
415,401,Maximilian Kieffer,50,0.4,20.13,-1.62,0,
416,452,Tim Wilkinson,52,0.4,20.84,-0.84,4.08,
417,411,Emilio Cuartero Blanco,43,0.4,17.13,-0.65,0,
418,405,Brett Coletta,41,0.39,16.14,-0.77,0,
419,415,K.J. Choi,40,0.39,15.72,-0.67,0,
420,412,David Drysdale,52,0.39,20.35,-1.58,0,
421,417,Daan Huizing,49,0.39,19.16,-1.08,0,
422,413,Anirban Lahiri,52,0.39,20.32,-1.66,0,
423,416,Hyun-woo Ryu,52,0.39,20.27,-1.43,0,
424,445,Oliver Fisher,52,0.39,20.24,-1.42,1.46,
425,424,Grégory Havret,51,0.39,19.81,-1.12,0,
426,420,Christopher Sahlstrom,40,0.39,15.53,-0.61,0,
427,464,Michael Gligic,45,0.39,17.47,-0.86,2.22,
428,408,Kevin Chappell,40,0.39,15.48,-2.5,0,
429,421,Ross McGowan,52,0.39,20.07,-1.26,0,
430,430,Denzel Ieremia,40,0.38,15.32,-0.17,0,
431,426,Lorenzo Scalise,40,0.38,15.25,-0.5,2.56,
432,425,Niklas Lemke,49,0.38,18.65,-1.09,0,
433,467,Jaco Van Zyl,40,0.38,15.23,-0.47,2.77,
434,431,Aman Raj,40,0.38,15.19,-0.37,0,
435,419,Doug Ghim,44,0.38,16.65,-0.96,0,
435,,Tommy Gainey,40,0.38,15.13,-0.08,14,
437,428,Sung -Kug Park,40,0.38,15.12,-0.79,0,
438,433,Luke Donald,40,0.38,15.05,-0.69,0,
